CODE SECTION,CODE TYPE,StatuteLiteral,OFFENSE LEVEL,EnactDate,RepealAmendDate,_section,_subparts,_subdivision,_paragraph,_subparagraph,_clause
9,FA,VIOL FOOD/AGRI PROVISION,M,19670101,99999999,9,,,,,
17.5(A),PC,MANDATORY SUPERVISION,X,20111001,99999999,17.5,(A),(A),,,
20,VC,USE/ETC FALSE INFO TO DMV,M,19590918,99999999,20,,,,,
27,VC,IMPERSONATE CHP OFFICER,M,19590918,99999999,27,,,,,
31,VC,GIVE FALSE INFO TO PO,M,19650917,99999999,31,,,,,
32,PC,ACCESSORY,F,18720101,20201104,32,,,,,
32,PC,ACCESSORY:PER 33 PC,M,18720101,99999999,32,,,,,
32,PC,ACCESSORY AFTER THE FACT,F,20201105,99999999,32,,,,,
37,PC,TREASON,F,18720101,99999999,37,,,,,
37(A),PC,TREASON,F,19900101,99999999,37,(A),(A),,,
38,PC,MISPRISION OF TREASON,F,18720101,99999999,38,,,,,
67,PC,BRIBE EXECUTIVE OFFICER,F,18720101,99999999,67,,,,,
67.5(A),PC,BRIBE PUBLIC OFFICER/ETC,M,19910101,20201108,67.5,(A),(A),,,
67.5(A),PC,BRIBE PUB OFCR PT -$950,M,20201109,99999999,67.5,(A),(A),,,
67.5(B),PC,BRIBE PUBLIC OFFICER/ETC,F,19910101,20201108,67.5,(B),(B),,,
67.5(B),PC,BRIBE PUB OFCR GT $950+,F,20201109,99999999,67.5,(B),(B),,,
68,PC,ASK/RECEIVE BRIBE,F,19330921,20201112,68,,,,,
68(A),PC,EO SOLICIT/ACCEPT A BRIBE,F,20201113,99999999,68,(A),(A),,,
69,PC,OBSTRUCT/RESIST EXEC OFF,F,18720101,20201112,69,,,,,
69,PC,OBSTRUCT/RESIST EXEC OFCR,M,18720101,20201111,69,,,,,
69(A),PC,OBSTRUCT/RESIST EXEC OFCR,M,20201112,99999999,69,(A),(A),,,
69(A),PC,OBSTRUCT/RESIST EXEC OFCR,F,20201113,99999999,69,(A),(A),,,
70(A),PC,ASK/GET/ETC $/ETC:OFC ACT,M,19850101,20201108,70,(A),(A),,,
70(A),PC,SOLICIT/ACCEPT GRATUITY,M,20201109,99999999,70,(A),(A),,,
70.5,PC,COMIS ACPT FEE PERF MARRG,M,19730101,99999999,70.5,,,,,
71,PC,THREATN SCH/PUB OFCR/EMPL,F,19691110,20201111,71,,,,,
71,PC,THREATN SCH/PUB OFCR/EMPL,M,19691110,20201111,71,,,,,
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,F,20201112,99999999,71,(A)(1),(A),(1),,
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,M,20201112,99999999,71,(A)(1),(A),(1),,
71(A)(2),PC,THRTN SCHOOL/PUB OFCR PR,F,19690101,99999999,71,(A)(2),(A),(2),,
72,PC,PRESENT FALSE CLAIM,F,18720101,99999999,72,,,,,
72,PC,PRESENT FALSE CLAIM,M,18720101,99999999,72,,,,,
72.5(A),PC,SK PUB FND REIMB ATND FNC,M,19850101,99999999,72.5,(A),(A),,,
72.5(A),PC,SK PUB FND REIMB ATND FNC,F,19850101,99999999,72.5,(A),(A),,,
72.5(B),PC,SK PUB FND REIMB ADMT FNC,M,19850101,99999999,72.5,(B),(B),,,
72.5(B),PC,SK PUB FND REIMB ADMT FNC,F,19850101,99999999,72.5,(B),(B),,,
73,PC,BUY APPOINTMENT TO OFFICE,M,18720101,99999999,73,,,,,
74,PC,TAKE REWRD FOR DEPUTATION,M,18720101,20201124,74,,,,,
74,PC,ACCEPT REWARD FOR APPOINT,M,20201125,99999999,74,,,,,
76(A),PC,THREATN/ETC ELEC OFCL/ETC,F,19930101,20201027,76,(A),(A),,,
76(A),PC,THREATN/ETC ELEC OFCL/ETC,M,19930101,20201108,76,(A),(A),,,
76(A),PC,THRTN PUB OFFICIAL W/PR,F,20201028,99999999,76,(A),(A),,,
76(A),PC,THREATEN PUB OFFICIAL,M,20201109,99999999,76,(A),(A),,,
85,PC,GIVE BRIBE TO LEGISLATOR,F,18720101,20201124,85,,,,,
85,PC,BRIBE LEGISLATOR,F,20201125,99999999,85,,,,,
86,PC,LEGISLATOR RECEIVE BRIBE,F,18720101,99999999,86,,,,,
92,PC,OFR/ETC BRIB JUDG/JUR/ETC,F,18720101,20201124,92,,,,,
92,PC,BRIBE JUDL OFCR/JUROR/ETC,F,20201125,99999999,92,,,,,
93,LC,DISOBEY SUBPOENA,M,19370827,99999999,93,,,,,
93,PC,JUDGE/ETC RECEIVE BRIBE,F,18720101,20201113,93,,,,,
93(A),PC,JUDGE/JUROR ASK/RCV BRIBE,F,20201116,99999999,93,(A),(A),,,
94,PC,JUDL OFCR REC/ETC BRIBE,M,18950101,20201108,94,,,,,
