_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
9,FA,VIOL FOOD/AGRI PROVISION,M,1967-01-01,,9,,,,,,9
17.5(A),PC,MANDATORY SUPERVISION,X,2011-10-01,,17.5,(A),(A),,,,17.5(A)
20,VC,USE/ETC FALSE INFO TO DMV,M,1959-09-18,,20,,,,,,20
27,VC,IMPERSONATE CHP OFFICER,M,1959-09-18,,27,,,,,,27
31,VC,GIVE FALSE INFO TO PO,M,1965-09-17,,31,,,,,,31
32,PC,ACCESSORY,F,1872-01-01,2020-11-04,32,,,,,,32
32,PC,ACCESSORY:PER 33 PC,M,1872-01-01,,32,,,,,,32
32,PC,ACCESSORY AFTER THE FACT,F,2020-11-05,,32,,,,,,32
37,PC,TREASON,F,1872-01-01,,37,,,,,,37
37(A),PC,TREASON,F,1990-01-01,,37,(A),(A),,,,37(A)
38,PC,MISPRISION OF TREASON,F,1872-01-01,,38,,,,,,38
67,PC,BRIBE EXECUTIVE OFFICER,F,1872-01-01,,67,,,,,,67
67.5(A),PC,BRIBE PUBLIC OFFICER/ETC,M,1991-01-01,2020-11-08,67.5,(A),(A),,,,67.5(A)
67.5(A),PC,BRIBE PUB OFCR PT -$950,M,2020-11-09,,67.5,(A),(A),,,,67.5(A)
67.5(B),PC,BRIBE PUBLIC OFFICER/ETC,F,1991-01-01,2020-11-08,67.5,(B),(B),,,,67.5(B)
67.5(B),PC,BRIBE PUB OFCR GT $950+,F,2020-11-09,,67.5,(B),(B),,,,67.5(B)
68,PC,ASK/RECEIVE BRIBE,F,1933-09-21,2020-11-12,68,,,,,,68
68(A),PC,EO SOLICIT/ACCEPT A BRIBE,F,2020-11-13,,68,(A),(A),,,,68(A)
69,PC,OBSTRUCT/RESIST EXEC OFF,F,1872-01-01,2020-11-12,69,,,,,,69
69,PC,OBSTRUCT/RESIST EXEC OFCR,M,1872-01-01,2020-11-11,69,,,,,,69
69(A),PC,OBSTRUCT/RESIST EXEC OFCR,M,2020-11-12,,69,(A),(A),,,,69(A)
69(A),PC,OBSTRUCT/RESIST EXEC OFCR,F,2020-11-13,,69,(A),(A),,,,69(A)
70(A),PC,ASK/GET/ETC $/ETC:OFC ACT,M,1985-01-01,2020-11-08,70,(A),(A),,,,70(A)
70(A),PC,SOLICIT/ACCEPT GRATUITY,M,2020-11-09,,70,(A),(A),,,,70(A)
70.5,PC,COMIS ACPT FEE PERF MARRG,M,1973-01-01,,70.5,,,,,,70.5
71,PC,THREATN SCH/PUB OFCR/EMPL,F,1969-11-10,2020-11-11,71,,,,,,71
71,PC,THREATN SCH/PUB OFCR/EMPL,M,1969-11-10,2020-11-11,71,,,,,,71
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,F,2020-11-12,,71,(A)(1),(A),(1),,,71(A)(1)
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,M,2020-11-12,,71,(A)(1),(A),(1),,,71(A)(1)
71(A)(2),PC,THRTN SCHOOL/PUB OFCR PR,F,1969-01-01,,71,(A)(2),(A),(2),,,71(A)(2)
72,PC,PRESENT FALSE CLAIM,F,1872-01-01,,72,,,,,,72
72,PC,PRESENT FALSE CLAIM,M,1872-01-01,,72,,,,,,72
72.5(A),PC,SK PUB FND REIMB ATND FNC,M,1985-01-01,,72.5,(A),(A),,,,72.5(A)
72.5(A),PC,SK PUB FND REIMB ATND FNC,F,1985-01-01,,72.5,(A),(A),,,,72.5(A)
72.5(B),PC,SK PUB FND REIMB ADMT FNC,M,1985-01-01,,72.5,(B),(B),,,,72.5(B)
72.5(B),PC,SK PUB FND REIMB ADMT FNC,F,1985-01-01,,72.5,(B),(B),,,,72.5(B)
73,PC,BUY APPOINTMENT TO OFFICE,M,1872-01-01,,73,,,,,,73
74,PC,TAKE REWRD FOR DEPUTATION,M,1872-01-01,2020-11-24,74,,,,,,74
74,PC,ACCEPT REWARD FOR APPOINT,M,2020-11-25,,74,,,,,,74
76(A),PC,THREATN/ETC ELEC OFCL/ETC,F,1993-01-01,2020-10-27,76,(A),(A),,,,76(A)
76(A),PC,THREATN/ETC ELEC OFCL/ETC,M,1993-01-01,2020-11-08,76,(A),(A),,,,76(A)
76(A),PC,THRTN PUB OFFICIAL W/PR,F,2020-10-28,,76,(A),(A),,,,76(A)
76(A),PC,THREATEN PUB OFFICIAL,M,2020-11-09,,76,(A),(A),,,,76(A)
85,PC,GIVE BRIBE TO LEGISLATOR,F,1872-01-01,2020-11-24,85,,,,,,85
85,PC,BRIBE LEGISLATOR,F,2020-11-25,,85,,,,,,85
86,PC,LEGISLATOR RECEIVE BRIBE,F,1872-01-01,,86,,,,,,86
92,PC,OFR/ETC BRIB JUDG/JUR/ETC,F,1872-01-01,2020-11-24,92,,,,,,92
92,PC,BRIBE JUDL OFCR/JUROR/ETC,F,2020-11-25,,92,,,,,,92
93,LC,DISOBEY SUBPOENA,M,1937-08-27,,93,,,,,,93
93,PC,JUDGE/ETC RECEIVE BRIBE,F,1872-01-01,2020-11-13,93,,,,,,93
93(A),PC,JUDGE/JUROR ASK/RCV BRIBE,F,2020-11-16,,93,(A),(A),,,,93(A)
94,PC,JUDL OFCR REC/ETC BRIBE,M,1895-01-01,2020-11-08,94,,,,,,94
94,PC,JUDL OFCR ACCEPT REWARD,M,2020-11-09,,94,,,,,,94
94.5,PC,JUDL OFCR ACC $ TO MARRY,M,1959-09-18,,94.5,,,,,,94.5
95,PC,INFLUENCE JUROR/ETC,F,1872-01-01,,95,,,,,,95
95.1,PC,THRET JUROR AFTER VERDICT,F,1988-01-01,,95.1,,,,,,95.1
95.1,PC,THRTN JUROR AFTER VERDICT,M,1988-01-01,,95.1,,,,,,95.1
95.2,PC,PROVIDE DEFT W/JUROR INFO,M,1993-01-01,,95.2,,,,,,95.2
95.3,PC,PI PRVD DEFT W/JUROR INFO,M,1993-01-01,,95.3,,,,,,95.3
96,PC,MISCONDUCT OF JUROR/ETC,F,1872-01-01,,96,,,,,,96
96.5(A),PC,JUDL OFCR OBSTRCT JUSTICE,M,1999-01-01,,96.5,(A),(A),,,,96.5(A)
97,PC,JUDGE PURCHASE JUDGEMENT,M,1872-01-01,,97,,,,,,97
98.6(B)(2),LC,FAIL TO HIRE AFTR HEARING,M,2014-01-01,,98.6,(B)(2),(B),(2),,,98.6(B)(2)
99,PC,CONFLICT INT STATE PRNTR,F,1872-01-01,,99,,,,,,99
100,PC,COLLSN SUPERINT ST PRNTNG,F,1872-01-01,,100,,,,,,100
102,PC,TAKE/ETC GOODS FROM OFCR,M,1872-01-01,,102,,,,,,102
107,PC,ESC:PUB TRAINING SCH/ETC,F,1941-09-13,2020-11-24,107,,,,,,107
107,PC,ESC:PUB TRAINING/HOSP/ETC,F,2020-11-25,,107,,,,,,107
109,PC,AID/ETC ESC:TRNG SCH/ETC,F,1872-01-01,2020-11-24,109,,,,,,109
109,PC,ASSIST ESC PUB TRNG SCHL,F,2020-11-25,,109,,,,,,109
110,PC,FUR INMATE W/ESCAPE EQUIP,F,1872-01-01,,110,,,,,,110
112(A),PC,MFG/ETC FLSE GOV DOC,M,1995-01-01,,112,(A),(A),,,,112(A)
113,PC,MFG/ETC FLSE CITZ/ETC DOC,F,1995-01-01,,113,,,,,,113
114,PC,USE FALSE CITIZEN/ETC DOC,F,1995-01-01,,114,,,,,,114
115(A),PC,OFFER/ETC FAKE INSTR:FILE,F,1985-01-01,,115,(A),(A),,,,115(A)
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,F,1991-01-01,,115.1,(B),(B),,,,115.1(B)
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,M,1991-01-01,,115.1,(B),(B),,,,115.1(B)
115.2(A),PC,PUBLISH FALSE CAMPAIGN AD,M,1992-01-01,,115.2,(A),(A),,,,115.2(A)
115.25(A),PC,PROD DOC INACC EMERG INFO,M,1993-01-01,,115.25,(A),(A),,,,115.25(A)
115.3,PC,ALT/ETC CERT CPY OFCL REC,M,1984-09-05,,115.3,,,,,,115.3
115.5(A),PC,FILE FALSE/ETC REALTY DOC,M,1985-01-01,,115.5,(A),(A),,,,115.5(A)
115.5(B),PC,FALSE STATE TO NOTARY PUB,F,1985-01-01,,115.5,(B),(B),,,,115.5(B)
116,PC,TAMPERING W/JURY LIST,F,1872-01-01,,116,,,,,,116
116.5(A),PC,JURY TAMPERING,M,1995-01-01,,116.5,(A),(A),,,,116.5(A)
117,PC,FALSIFY JURY LIST,F,1872-01-01,,117,,,,,,117
118(A),PC,PERJURY,F,1990-01-01,,118,(A),(A),,,,118(A)
118.1,PC,OFCR FILES FALSE REPORT,F,1991-01-01,2021-12-31,118.1,,,,,,118.1
118.1,PC,OFFICER FILE FALSE REPORT,M,1991-01-01,2021-12-31,118.1,,,,,,118.1
118A,PC,FALSE AFFIDAVT AS PERJURY,F,1905-01-01,,118A,,,,,,118A
119(A)(1),BP,DISPLAY/ETC REVOK/ETC LIC,M,1991-01-01,,119,(A)(1),(A),(1),,,119(A)(1)
119(C),BP,DISPLAY ANOTHER'S LICENSE,M,1965-09-17,,119,(C),(C),,,,119(C)
119(F),BP,UNLAWFUL POSS/DUPL LICENS,M,1965-09-17,,119,(F),(F),,,,119(F)
123(A),BP,SUBVERT LICENSING EXAM,M,1990-01-01,,123,(A),(A),,,,123(A)
125,BP,BUS/PROF CONSPIRE W/UNLIC,M,1949-10-01,,125,,,,,,125
127,PC,SUBORNATION OF PERJURY,F,1872-01-01,,127,,,,,,127
128,PC,PERJ:INOCENT PRSN EXECUTD,F,1872-01-01,,128,,,,,,128
129,PC,FALSE STATEMNT UNDER OATH,F,1905-01-01,,129,,,,,,129
131,PC,FRDLNT CONDCT DRNG INVEST,M,2004-01-01,,131,,,,,,131
131,HN,OBSTRUCT NAVIGABLE WATERS,M,1937-08-27,,131,,,,,,131
132,PC,OFFER FALSE EVIDENCE,F,1872-01-01,,132,,,,,,132
132.5(A),PC,UNLAWFUL WITNESS COMPNS,M,1995-01-01,,132.5,(A),(A),,,,132.5(A)
133,PC,DECEIVE WITNESS,M,1872-01-01,,133,,,,,,133
133(A),HN,DISCHRG FUEL OIL IN WATER,M,2010-01-01,,133,(A),(A),,,,133(A)
134,PC,PREPARE FALSE EVIDENCE,F,1872-01-01,,134,,,,,,134
135,PC,DESTROY/CONCEAL EVIDENCE,M,1872-01-01,,135,,,,,,135
135.5,PC,FIX EVID:HARM SAFETY OFCR,M,1999-01-01,,135.5,,,,,,135.5
