census year,demographic,Estimate,variable,total_population,Percent,geography,state
2010,American Indian and Alaska Native,102527,race,8963473,0.01143831191325059,Los Angeles County*,California
2010,Asian,1326930,race,8963473,0.14803748502394107,Los Angeles County*,California
2010,Black or African American,844211,race,8963473,0.09418347107198292,Los Angeles County*,California
2010,Hispanic or Latino (of any race),4331506,ethnicity,8963473,0.4832396996119696,Los Angeles County*,California
2010,Native Hawaiian and Other Pacific Islander,36805,race,8963473,0.004106109317225589,Los Angeles County*,California
2010,Not Hispanic or Latino,4631967,ethnicity,8963473,0.5167603003880304,Los Angeles County*,California
2010,Some other race,2209685,race,8963473,0.24652107503419712,Los Angeles County*,California
2010,White,4742968,race,8963473,0.5291440047847525,Los Angeles County*,California
2015,American Indian and Alaska Native,137724,race,9228489,0.014923786548372111,Los Angeles County*,California
2015,Asian,1441749,race,9228489,0.15622806723830954,Los Angeles County*,California
2015,Black or African American,847602,race,9228489,0.09184623831702027,Los Angeles County*,California
2015,Hispanic or Latino (of any race),4560903,ethnicity,9228489,0.494219909673187,Los Angeles County*,California
2015,Native Hawaiian and Other Pacific Islander,44225,race,9228489,0.004792225466162445,Los Angeles County*,California
2015,Not Hispanic or Latino,4667586,ethnicity,9228489,0.5057800903268129,Los Angeles County*,California
2015,Some other race,1991985,race,9228489,0.21585169576514637,Los Angeles County*,California
2015,White,5149976,race,9228489,0.5580519194420669,Los Angeles County*,California
2020,American Indian and Alaska Native,135969,race,7659776,0.01775104128371378,Los Angeles County*,California
2020,Asian,1259124,race,7659776,0.16438130827846664,Los Angeles County*,California
2020,Black or African American,697860,race,7659776,0.09110710287089335,Los Angeles County*,California
2020,Hispanic or Latino (of any race),3890484,ethnicity,7659776,0.5079109362989205,Los Angeles County*,California
2020,Native Hawaiian and Other Pacific Islander,43499,race,7659776,0.005678886693292337,Los Angeles County*,California
2020,Not Hispanic or Latino,3769292,ethnicity,7659776,0.4920890637010795,Los Angeles County*,California
2020,Some other race,2061608,race,7659776,0.26914729621336186,Los Angeles County*,California
2020,White,4067048,race,7659776,0.5309617409177501,Los Angeles County*,California
2020,American Indian and Alaska Native,28833,race,1661584,0.017,Alameda County,California
2020,Asian,578885,race,1661584,0.348,Alameda County,California
2020,Black or African American,204606,race,1661584,0.12300000000000001,Alameda County,California
2020,Native Hawaiian and Other Pacific Islander,25897,race,1661584,0.016,Alameda County,California
2020,Some other race,231659,race,1661584,0.139,Alameda County,California
2020,White,738232,race,1661584,0.444,Alameda County,California
2020,American Indian and Alaska Native,44933,race,2225064,0.02,King County,Washington
2020,Asian,485570,race,2225064,0.218,King County,Washington
2020,Black or African American,188483,race,2225064,0.085,King County,Washington
2020,Native Hawaiian and Other Pacific Islander,29141,race,2225064,0.013000000000000001,King County,Washington
2020,Some other race,130273,race,2225064,0.059000000000000004,King County,Washington
2020,White,1525759,race,2225064,0.6859999999999999,King County,Washington
2020,American Indian and Alaska Native,176427,race,10040682,0.018000000000000002,Los Angeles County,California
2020,Asian,1678734,race,10040682,0.16699999999999998,Los Angeles County,California
2020,Black or African American,936285,race,10040682,0.09300000000000001,Los Angeles County,California
2020,Native Hawaiian and Other Pacific Islander,58104,race,10040682,0.006,Los Angeles County,California
2020,Some other race,2546006,race,10040682,0.254,Los Angeles County,California
2020,White,5431218,race,10040682,0.541,Los Angeles County,California
2020,American Indian and Alaska Native,19199,race,809869,0.024,Multnomah County,Oregon
2020,Asian,80146,race,809869,0.099,Multnomah County,Oregon
2020,Black or African American,60106,race,809869,0.07400000000000001,Multnomah County,Oregon
2020,Native Hawaiian and Other Pacific Islander,8875,race,809869,0.011000000000000001,Multnomah County,Oregon
2020,Some other race,34438,race,809869,0.043,Multnomah County,Oregon
2020,White,664873,race,809869,0.821,Multnomah County,Oregon
2020,American Indian and Alaska Native,35536,race,1537948,0.023,Sacramento County,California
2020,Asian,305142,race,1537948,0.198,Sacramento County,California
2020,Black or African American,196664,race,1537948,0.128,Sacramento County,California
2020,Native Hawaiian and Other Pacific Islander,28487,race,1537948,0.019,Sacramento County,California
2020,Some other race,171810,race,1537948,0.11199999999999999,Sacramento County,California
2020,White,958106,race,1537948,0.623,Sacramento County,California
2020,American Indian and Alaska Native,58175,race,3323970,0.018000000000000002,San Diego County,California
2020,Asian,496937,race,3323970,0.15,San Diego County,California
2020,Black or African American,215223,race,3323970,0.065,San Diego County,California
2020,Native Hawaiian and Other Pacific Islander,34446,race,3323970,0.01,San Diego County,California
2020,Some other race,356278,race,3323970,0.107,San Diego County,California
2020,White,2473828,race,3323970,0.7440000000000001,San Diego County,California
2010,American Indian and Alaska Native,24107,race,1477980,0.016,Alameda County,California
2010,Asian,416276,race,1477980,0.282,Alameda County,California
2010,Black or African American,208983,race,1477980,0.141,Alameda County,California
2010,Native Hawaiian and Other Pacific Islander,18642,race,1477980,0.013000000000000001,Alameda County,California
2010,Some other race,157966,race,1477980,0.107,Alameda County,California
2010,White,730054,race,1477980,0.494,Alameda County,California
2010,American Indian and Alaska Native,36342,race,1879189,0.019,King County,Washington
2010,Asian,305613,race,1879189,0.163,King County,Washington
2010,Black or African American,137606,race,1879189,0.073,King County,Washington
2010,Native Hawaiian and Other Pacific Islander,20934,race,1879189,0.011000000000000001,King County,Washington
2010,Some other race,67633,race,1879189,0.036000000000000004,King County,Washington
2010,White,1404150,race,1879189,0.747,King County,Washington
2010,American Indian and Alaska Native,114698,race,9758256,0.012,Los Angeles County,California
2010,Asian,1448879,race,9758256,0.14800000000000002,Los Angeles County,California
2010,Black or African American,934619,race,9758256,0.096,Los Angeles County,California
2010,Native Hawaiian and Other Pacific Islander,43595,race,9758256,0.004,Los Angeles County,California
2010,Some other race,2335704,race,9758256,0.239,Los Angeles County,California
2010,White,5214166,race,9758256,0.534,Los Angeles County,California
2010,American Indian and Alaska Native,20268,race,712036,0.027999999999999997,Multnomah County,Oregon
2010,Asian,56890,race,712036,0.08,Multnomah County,Oregon
2010,Black or African American,49308,race,712036,0.069,Multnomah County,Oregon
2010,Native Hawaiian and Other Pacific Islander,5266,race,712036,0.006999999999999999,Multnomah County,Oregon
2010,Some other race,26915,race,712036,0.038,Multnomah County,Oregon
2010,White,583806,race,712036,0.82,Multnomah County,Oregon
2010,American Indian and Alaska Native,32477,race,1395144,0.023,Sacramento County,California
2010,Asian,227146,race,1395144,0.163,Sacramento County,California
2010,Black or African American,168362,race,1395144,0.121,Sacramento County,California
2010,Native Hawaiian and Other Pacific Islander,19139,race,1395144,0.013999999999999999,Sacramento County,California
2010,Some other race,130175,race,1395144,0.09300000000000001,Sacramento County,California
2010,White,897331,race,1395144,0.643,Sacramento County,California
2010,American Indian and Alaska Native,48168,race,3022468,0.016,San Diego County,California
2010,Asian,381426,race,3022468,0.126,San Diego County,California
2010,Black or African American,181287,race,3022468,0.06,San Diego County,California
2010,Native Hawaiian and Other Pacific Islander,25533,race,3022468,0.008,San Diego County,California
2010,Some other race,264849,race,3022468,0.08800000000000001,San Diego County,California
2010,White,2255026,race,3022468,0.746,San Diego County,California
2015,American Indian and Alaska Native,26132,race,1584983,0.016,Alameda County,California
2015,Asian,491276,race,1584983,0.31,Alameda County,California
2015,Black or African American,213949,race,1584983,0.135,Alameda County,California
2015,Native Hawaiian and Other Pacific Islander,24048,race,1584983,0.015,Alameda County,California
2015,Some other race,153383,race,1584983,0.09699999999999999,Alameda County,California
2015,White,784501,race,1584983,0.495,Alameda County,California
2015,American Indian and Alaska Native,45053,race,2045756,0.022000000000000002,King County,Washington
2015,Asian,376657,race,2045756,0.184,King County,Washington
2015,Black or African American,163756,race,2045756,0.08,King County,Washington
2015,Native Hawaiian and Other Pacific Islander,26723,race,2045756,0.013000000000000001,King County,Washington
2015,Some other race,71011,race,2045756,0.035,King County,Washington
2015,White,1495137,race,2045756,0.731,King County,Washington
2015,American Indian and Alaska Native,156646,race,10038388,0.016,Los Angeles County,California
2015,Asian,1574316,race,10038388,0.157,Los Angeles County,California
2015,Black or African American,939305,race,10038388,0.094,Los Angeles County,California
2015,Native Hawaiian and Other Pacific Islander,52506,race,10038388,0.005,Los Angeles County,California
2015,Some other race,2087587,race,10038388,0.20800000000000002,Los Angeles County,California
2015,White,5658213,race,10038388,0.564,Los Angeles County,California
