geography,state,census demographic,census estimate,census percent,variable,census year,total_population,coc_number
Los Angeles,California,Hispanic or Latino (of any race),1909808,0.48100000000000004,ethnicity,2020,3973278,CA-600
Los Angeles,California,Not Hispanic or Latino,2063470,0.519,ethnicity,2020,3973278,CA-600
Los Angeles,California,American Indian and Alaska Native,62817,0.016,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,Asian,541935,0.136,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,Black or African American,401039,0.10099999999999999,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,Native Hawaiian and Other Pacific Islander,18525,0.005,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,Some other race,1058349,0.266,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,White,2187180,0.55,race alone or in combination,2020,3973278,CA-600
Los Angeles,California,White alone,1132606,0.285,race alone or in combination,2020,3973278,CA-600
Oakland,California,Hispanic or Latino (of any race),113901,0.27,ethnicity,2020,422575,CA-502
Oakland,California,Not Hispanic or Latino,308674,0.73,ethnicity,2020,422575,CA-502
Oakland,California,American Indian and Alaska Native,10103,0.024,race alone or in combination,2020,422575,CA-502
Oakland,California,Asian,79293,0.188,race alone or in combination,2020,422575,CA-502
Oakland,California,Black or African American,110160,0.261,race alone or in combination,2020,422575,CA-502
Oakland,California,Native Hawaiian and Other Pacific Islander,4817,0.011000000000000001,race alone or in combination,2020,422575,CA-502
Oakland,California,Some other race,85214,0.20199999999999999,race alone or in combination,2020,422575,CA-502
Oakland,California,White,173784,0.41100000000000003,race alone or in combination,2020,422575,CA-502
Oakland,California,White alone,120547,0.285,race alone or in combination,2020,422575,CA-502
Portland,Oregon,Hispanic or Latino (of any race),63809,0.098,ethnicity,2020,650380,OR-501
Portland,Oregon,Not Hispanic or Latino,586571,0.902,ethnicity,2020,650380,OR-501
Portland,Oregon,American Indian and Alaska Native,14064,0.022000000000000002,race alone or in combination,2020,650380,OR-501
Portland,Oregon,Asian,70831,0.109,race alone or in combination,2020,650380,OR-501
Portland,Oregon,Black or African American,50448,0.078,race alone or in combination,2020,650380,OR-501
Portland,Oregon,Native Hawaiian and Other Pacific Islander,7175,0.011000000000000001,race alone or in combination,2020,650380,OR-501
Portland,Oregon,Some other race,24983,0.038,race alone or in combination,2020,650380,OR-501
Portland,Oregon,White,527845,0.812,race alone or in combination,2020,650380,OR-501
Portland,Oregon,White alone,451999,0.695,race alone or in combination,2020,650380,OR-501
Sacramento,California,Hispanic or Latino (of any race),142417,0.28300000000000003,ethnicity,2020,503482,CA-503
Sacramento,California,Not Hispanic or Latino,361065,0.7170000000000001,ethnicity,2020,503482,CA-503
Sacramento,California,American Indian and Alaska Native,11940,0.024,race alone or in combination,2020,503482,CA-503
Sacramento,California,Asian,113615,0.226,race alone or in combination,2020,503482,CA-503
Sacramento,California,Black or African American,86942,0.17300000000000001,race alone or in combination,2020,503482,CA-503
Sacramento,California,Native Hawaiian and Other Pacific Islander,13100,0.026000000000000002,race alone or in combination,2020,503482,CA-503
Sacramento,California,Some other race,75428,0.15,race alone or in combination,2020,503482,CA-503
Sacramento,California,White,257698,0.512,race alone or in combination,2020,503482,CA-503
Sacramento,California,White alone,160986,0.32,race alone or in combination,2020,503482,CA-503
San Diego,California,Hispanic or Latino (of any race),425269,0.301,ethnicity,2020,1414545,CA-601
San Diego,California,Not Hispanic or Latino,989276,0.6990000000000001,ethnicity,2020,1414545,CA-601
San Diego,California,American Indian and Alaska Native,19910,0.013999999999999999,race alone or in combination,2020,1414545,CA-601
San Diego,California,Asian,287949,0.204,race alone or in combination,2020,1414545,CA-601
San Diego,California,Black or African American,107613,0.076,race alone or in combination,2020,1414545,CA-601
San Diego,California,Native Hawaiian and Other Pacific Islander,14271,0.01,race alone or in combination,2020,1414545,CA-601
San Diego,California,Some other race,130017,0.092,race alone or in combination,2020,1414545,CA-601
San Diego,California,White,973601,0.688,race alone or in combination,2020,1414545,CA-601
San Diego,California,White alone,598293,0.423,race alone or in combination,2020,1414545,CA-601
Seattle,Washington,Hispanic or Latino (of any race),52767,0.071,ethnicity,2020,741251,WA-500
Seattle,Washington,Not Hispanic or Latino,688484,0.929,ethnicity,2020,741251,WA-500
Seattle,Washington,American Indian and Alaska Native,15219,0.021,race alone or in combination,2020,741251,WA-500
Seattle,Washington,Asian,150377,0.203,race alone or in combination,2020,741251,WA-500
Seattle,Washington,Black or African American,66903,0.09,race alone or in combination,2020,741251,WA-500
Seattle,Washington,Native Hawaiian and Other Pacific Islander,5357,0.006999999999999999,race alone or in combination,2020,741251,WA-500
Seattle,Washington,Some other race,26571,0.036000000000000004,race alone or in combination,2020,741251,WA-500
Seattle,Washington,White,539389,0.728,race alone or in combination,2020,741251,WA-500
Seattle,Washington,White alone,463833,0.626,race alone or in combination,2020,741251,WA-500
Los Angeles,California,Hispanic or Latino (of any race),1922409,0.485,ethnicity,2019,3966936,CA-600
Los Angeles,California,Not Hispanic or Latino,2044527,0.515,ethnicity,2019,3966936,CA-600
Los Angeles,California,American Indian and Alaska Native,59208,0.015,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,Asian,527369,0.133,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,Black or African American,399316,0.10099999999999999,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,Native Hawaiian and Other Pacific Islander,16939,0.004,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,Some other race,942791,0.23800000000000002,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,White,2184066,0.551,race alone or in combination,2019,3966936,CA-600
Los Angeles,California,White alone,1129956,0.285,race alone or in combination,2019,3966936,CA-600
Oakland,California,Hispanic or Latino (of any race),114942,0.27,ethnicity,2019,425097,CA-502
Oakland,California,Not Hispanic or Latino,310155,0.73,ethnicity,2019,425097,CA-502
Oakland,California,American Indian and Alaska Native,9606,0.023,race alone or in combination,2019,425097,CA-502
Oakland,California,Asian,78508,0.185,race alone or in combination,2019,425097,CA-502
Oakland,California,Black or African American,114403,0.26899999999999996,race alone or in combination,2019,425097,CA-502
Oakland,California,Native Hawaiian and Other Pacific Islander,5233,0.012,race alone or in combination,2019,425097,CA-502
Oakland,California,Some other race,78093,0.184,race alone or in combination,2019,425097,CA-502
Oakland,California,White,172631,0.406,race alone or in combination,2019,425097,CA-502
Oakland,California,White alone,120225,0.28300000000000003,race alone or in combination,2019,425097,CA-502
Portland,Oregon,Hispanic or Latino (of any race),62696,0.09699999999999999,ethnicity,2019,645291,OR-501
Portland,Oregon,Not Hispanic or Latino,582595,0.903,ethnicity,2019,645291,OR-501
Portland,Oregon,American Indian and Alaska Native,14486,0.022000000000000002,race alone or in combination,2019,645291,OR-501
Portland,Oregon,Asian,67283,0.10400000000000001,race alone or in combination,2019,645291,OR-501
Portland,Oregon,Black or African American,48412,0.075,race alone or in combination,2019,645291,OR-501
Portland,Oregon,Native Hawaiian and Other Pacific Islander,6714,0.01,race alone or in combination,2019,645291,OR-501
Portland,Oregon,Some other race,15235,0.024,race alone or in combination,2019,645291,OR-501
Portland,Oregon,White,531111,0.823,race alone or in combination,2019,645291,OR-501
Portland,Oregon,White alone,455320,0.706,race alone or in combination,2019,645291,OR-501
Sacramento,California,Hispanic or Latino (of any race),144582,0.289,ethnicity,2019,500930,CA-503
Sacramento,California,Not Hispanic or Latino,356348,0.711,ethnicity,2019,500930,CA-503
Sacramento,California,American Indian and Alaska Native,10979,0.022000000000000002,race alone or in combination,2019,500930,CA-503
Sacramento,California,Asian,109839,0.21899999999999997,race alone or in combination,2019,500930,CA-503
Sacramento,California,Black or African American,82280,0.16399999999999998,race alone or in combination,2019,500930,CA-503
Sacramento,California,Native Hawaiian and Other Pacific Islander,13397,0.027000000000000003,race alone or in combination,2019,500930,CA-503
Sacramento,California,Some other race,67000,0.134,race alone or in combination,2019,500930,CA-503
Sacramento,California,White,259723,0.518,race alone or in combination,2019,500930,CA-503
Sacramento,California,White alone,162471,0.324,race alone or in combination,2019,500930,CA-503
San Diego,California,Hispanic or Latino (of any race),427586,0.303,ethnicity,2019,1409573,CA-601
San Diego,California,Not Hispanic or Latino,981987,0.6970000000000001,ethnicity,2019,1409573,CA-601
San Diego,California,American Indian and Alaska Native,17821,0.013000000000000001,race alone or in combination,2019,1409573,CA-601
San Diego,California,Asian,277145,0.19699999999999998,race alone or in combination,2019,1409573,CA-601
San Diego,California,Black or African American,110785,0.079,race alone or in combination,2019,1409573,CA-601
San Diego,California,Native Hawaiian and Other Pacific Islander,13286,0.009000000000000001,race alone or in combination,2019,1409573,CA-601
San Diego,California,Some other race,92050,0.065,race alone or in combination,2019,1409573,CA-601
San Diego,California,White,980420,0.696,race alone or in combination,2019,1409573,CA-601
San Diego,California,White alone,602690,0.428,race alone or in combination,2019,1409573,CA-601
Seattle,Washington,Hispanic or Latino (of any race),48229,0.067,ethnicity,2019,724305,WA-500
Seattle,Washington,Not Hispanic or Latino,676076,0.9329999999999999,ethnicity,2019,724305,WA-500
Seattle,Washington,American Indian and Alaska Native,14059,0.019,race alone or in combination,2019,724305,WA-500
Seattle,Washington,Asian,140672,0.19399999999999998,race alone or in combination,2019,724305,WA-500
Seattle,Washington,Black or African American,66970,0.092,race alone or in combination,2019,724305,WA-500
Seattle,Washington,Native Hawaiian and Other Pacific Islander,5199,0.006999999999999999,race alone or in combination,2019,724305,WA-500
