_geocodio_number,_geocodio_street,_geocodio_city,_geocodio_state,_geocodio_zip,_geocodio_street_address,_project_types,_org_names,_org_ids,_subcategory,_category,_parsed,_coc_ids
1,AVE OF THE PALMS,SAN FRANCISCO,CA,94130,1 AVE OF THE PALMS,PSH,Island Bay Homes III,1826,permanent supportive housing,sheltered,"1 AVE OF THE PALMS, SAN FRANCISCO, CA, 94130",CA-501
1,CHURCH ST,SAN FRANCISCO,CA,94114,1 CHURCH ST,PSH,One Church St. Apartments,1141,permanent supportive housing,sheltered,"1 CHURCH ST, SAN FRANCISCO, CA, 94114",CA-501
1,HOPE DR,TUSTIN,CA,92782,1 HOPE DR,TH; ES,ES Village of Hope; TH Village of Hope,5338,mixed support,sheltered,"1 HOPE DR, TUSTIN, CA, 92782",CA-602
1,ROLLING HILLS DR,POMONA,CA,91766,1 ROLLING HILLS DR,PSH,Blue Butterfly Village,7278; 28847,permanent supportive housing,sheltered,"1 ROLLING HILLS DR, POMONA, CA, 91766",CA-600
10,KIRK AVE,SAN JOSE,CA,95127,10 KIRK AVE,TH; ES,HVEHF - Men's(3161); GPD - Aging; HVEHF - HealthCare for Homeless Veterans (HCHV)(3393); HVEHF - Aging(3162); GPD - Women's; GPD - Men's; HVEHF - Women's(3160); HVEHF - Bridge Housing; HealthCare for Homeless Veterans (HCHV); HVEHF - Clinical Treatment,30214,mixed support,sheltered,"10 KIRK AVE, SAN JOSE, CA, 95127",CA-500
10,N RUSSELL ST,PORTLAND,OR,97227,10 N RUSSELL ST,RRH; PSH,"Urban League - JOHS Rent RRH (5184); Urban League --Project Haven - RRH (5968); Urban League --Project Haven - PSH (5758); Urban League - JOHS STRA RRH (5184, 6247); Urban League - STRA RRH (6247); Urban League - JOHS STRA RRH (5184)",10188,mixed support,sheltered,"10 N RUSSELL ST, PORTLAND, OR, 97227",OR-501
10,N WEIDLER ST,PORTLAND,OR,97227,10 N WEIDLER ST,PSH,"CCC - Madrona-Housing Plus (3170); CCC - Madrona (3170, 3098, 3169); CCC - Martha Washington  (3042); CCC - Madrona Resident Services (3169); CCC - Madrona McKinney (3098)",1391,permanent supportive housing,sheltered,"10 N WEIDLER ST, PORTLAND, OR, 97227",OR-501
100,23RD AVE S,SEATTLE,WA,98144,100 23RD AVE S,RRH; ES,RRH for Single Adults - King County; Single Adults RRH CCS; RRH Supportive Services for Veteran Families CCS; CCS - RRH for Families; RRH Family CCS; SSVF - CCS - Rapid Re-Housing; Lazarus Center Shelter; RRH Family CCS - Housing Levy; University Friends Shelter,12272,mixed support,sheltered,"100 23RD AVE S, SEATTLE, WA, 98144",WA-500
100,CALIFORNIA DR,YOUNTVILLE,CA,94599,100 CALIFORNIA DR,TH,Veterans Home,18910,transitional housing,sheltered,"100 CALIFORNIA DR, YOUNTVILLE, CA, 94599",CA-517
100,HARTLE CT,NAPA,CA,94559,100 HARTLE CT,ES,South Napa County Shelter,41781; 11868,emergency shelter,unhoused,"100 HARTLE CT, NAPA, CA, 94559",CA-517
