city,_housing_status,_subcategory,_categorized_address_data,_source,arrests
Sacramento,unhoused,transient,TRASIENT,regex,1.0
Sacramento,unhoused,transient,GENERALDELIVERY,regex,1.0
Sacramento,unhoused,transient,GERERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,GERNAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,GNERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,HOMELESS,regex,1.0
Sacramento,unhoused,transient,GENERAL DELIVEY,regex,1.0
Sacramento,unhoused,transient,TRANIENTS,regex,1.0
Sacramento,unhoused,transient,GENERAL DELIV ERY,regex,1.0
Sacramento,unhoused,transient,TRANSIENT **TH ST ALHAMBRA BLVD,regex,1.0
Sacramento,unhoused,transient,TRANSIENT **TH FOLSOM BLVD,regex,1.0
Sacramento,unhoused,transient,GENERNAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,GENERAL DELEVERY,regex,1.0
Sacramento,unhoused,transient,GENERAL,regex,1.0
Sacramento,unhoused,transient,GENERAL DELIEVRY,regex,1.0
Sacramento,unhoused,transient,TRANSIENT I 80,regex,1.0
Sacramento,unhoused,transient,00 GENERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,0000 TRANSIENT,regex,1.0
Sacramento,unhoused,transient,GENAERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,GEMERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,DENERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,1GENERAL DELIVERY,regex,1.0
Sacramento,unhoused,transient,GENERA DELIVERY,regex,1.0
Sacramento,unhoused,transient,TRANIENT,regex,2.0
Sacramento,unhoused,transient,GENERAL DELIVRY,regex,2.0
Sacramento,unhoused,transient,GENERAL DELIVERYY,regex,2.0
Sacramento,unhoused,transient,GENREAL DELIVERY,regex,2.0
Sacramento,unhoused,transient,GENDERAL DELIVERY,regex,2.0
Sacramento,unhoused,transient,GENEAL DELIVERY,regex,2.0
Sacramento,unhoused,transient,GENERAL DELIVEREY,regex,2.0
Sacramento,unhoused,transient,GENERAL DELIVEERY,regex,3.0
Sacramento,unhoused,transient,GENERAL DELIERY,regex,3.0
Sacramento,unhoused,transient,GENERAL DEIVERY,regex,3.0
Sacramento,unhoused,transient,GENERAL DLIVERY,regex,3.0
Sacramento,unhoused,transient,GENERAL DEILVERY,regex,3.0
Sacramento,unhoused,transient,GENEERAL DELIVERY,regex,3.0
Sacramento,unhoused,transient,1 GENERAL DELIVERY,regex,4.0
Sacramento,unhoused,transient,GENERAL DELIEVERY,regex,4.0
Sacramento,unhoused,transient,GENEREAL DELIVERY,regex,4.0
Sacramento,unhoused,transient,GENEREL DELIVERY,regex,4.0
Sacramento,unhoused,transient,GENERL DELIVERY,regex,4.0
Sacramento,unhoused,transient,GENERAL DELVERY,regex,5.0
Sacramento,unhoused,transient,GENERAL DELLIVERY,regex,5.0
Sacramento,unhoused,transient,GENERAL DELIVER,regex,5.0
Sacramento,unhoused,transient,TRANSEINT,regex,6.0
Sacramento,unhoused,transient,GENERAL DELILVERY,regex,6.0
Sacramento,unhoused,transient,GENRAL DELIVERY,regex,6.0
Sacramento,unhoused,transient,GERNERAL DELIVERY,regex,7.0
Sacramento,unhoused,transient,GENERAL DELIIVERY,regex,7.0
Sacramento,unhoused,transient,GENERAL DLEIVERY,regex,8.0
Sacramento,unhoused,transient,GENERAL DELVIERY,regex,15.0
Sacramento,unhoused,transient,TRANSINET,regex,19.0
Sacramento,unhoused,transient,TRANSIENT,regex,864.0
Sacramento,unhoused,transient,GENERAL DELIVERY,regex,16803.0
Los Angeles,unhoused,transient,1942 TRANSDIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENET,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENMT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT **TH,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT ACE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT NEWT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT RAMP,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT STEE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT STR,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT1,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT5 AVE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENT**TH,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTAVV,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTC,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIEND,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTL OLYM,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTQ,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTR,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTSTREET,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTW,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTWAYY,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIET AVE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIETNT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSINE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSINT ST,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIOENT,regex,1.0
