city,_street_address
San Diego,NONE TRANSIENT
Oakland,TRAINSENT
Los Angeles,1942 TRANSUEBT
Seattle,"00000 HOMELESS SEATTLE, WA 98104"
Portland,HOMELESS
Sacramento,TANSIENT
San Diego,TRANSIENT 5000 NEWPORT
San Diego,TRANISENT
Los Angeles,1842 S TRANSEINT
Los Angeles,1942 TRANSIENT RD
Los Angeles,1942 TRAISENT ST
Los Angeles,1920 TRANSIENT
Los Angeles,1942 TRANSFER
Los Angeles,1948 TRANSIENT
Los Angeles,1942Q TRANSIENT ST
Oakland,22826 VERMONT / TRANSIENT
Oakland,TANSIENT
Oakland,REFUSED/TRANSIENT
Los Angeles,1942 TRANEINT
Los Angeles,1945 TRANSIENT ST
Seattle,"1234 GENERAL DELIVERY SEATTLE, WA 98101"
Los Angeles,1942 TRANSIT
Los Angeles,1942 TRANSOIENT
Los Angeles,1942 TRASIENT STREET
Los Angeles,1942 TRANSET
Los Angeles,1234 TRANSIENT
San Diego,TRANSIENT 16TH AND IMPERIAL
Los Angeles,2326 TRANSIENT
Los Angeles,19112 TRANSIENT
San Diego,TRASIENT
Seattle,"99999 GENERAL DELIVERY SEATTLE, WA 98105"
Los Angeles,194 TRANSEINT
Los Angeles,1942 TRANIENT STREE
Los Angeles,19421 TRANSIENT ST
Oakland,TRASIENT
Sacramento,GENEERAL DELIVERY
Los Angeles,1942 TRANSNIENT
Los Angeles,1942 TRAMSEINT
Seattle,"99999 HOMELESS HOMELESS, WA 98000"
Los Angeles,1742 TRANSIENT
Los Angeles,1942 TRANSIENST
Los Angeles,19142 TRANSIENT
Los Angeles,1042 TRANSIENT ST
Sacramento,TRNSIENT
Los Angeles,TRANSIENTNT
Los Angeles,F1942 TRANSIENT
Seattle,"9999 GENERAL DELIVERY BREMERTON, WA 98337"
Los Angeles,1942 TAIWAN TRANS
Los Angeles,1942 TRASONET
Los Angeles,1942 TARANSIENT
Los Angeles,1942 TRANSIENTWAYY
Oakland,GENERAL DELIVERY
Los Angeles,1941 TRANSIENT WAY
Sacramento,GENERAL DELLIVERY
San Diego,TRANSIENT DOWNTOWN
Los Angeles,1942 TRANSIENT ACE
San Diego,MICHAEL ADAMS GENERAL DELIVERY
Los Angeles,1942 TRANSEIENT
San Diego,TRANSIENNT
San Diego,HOMELESSTRANSIENT
Seattle,"99999 HOMELESS BREMERTON, WA 98312"
Seattle,"9999 HOMELESS SEATTLE, WA 99999"
Sacramento,GERNERAL DELIVERY
Los Angeles,1942 TRANSIENT ABE
Los Angeles,19421 TRANSIENT AVE
Los Angeles,1942 TRANISET
Los Angeles,0610 TRANSIENT
Seattle,"12345 HOMELESS SEATTLE, WA 98133"
Los Angeles,1942 TRAMNSIENT
Los Angeles,1942 TRANISNET ST
Los Angeles,1927 TRANSIENT
Sacramento,TRANSIET
Los Angeles,1926 TRANSIENT
Los Angeles,GENERAL DELIVER
Los Angeles,1942 TRANSIENTAVEE
Los Angeles,1942 TRAANSIENT
Los Angeles,1942 TARSNIENT
Oakland,3220 TRANSIENT
Los Angeles,1642 TRANSIENT
Portland,HOUSELERSS
Los Angeles,1942 TRANSIEMNT
Seattle,"99999 HOMELESS SEATTLE, WA 98115"
San Diego,TRANSINET
Los Angeles,1942 TRANNSIENT AVE
Los Angeles,1942 TRANSIENT 77TH
Sacramento,GERERAL DELIVERY
Los Angeles,19422 TRANS
Los Angeles,1942 TRABSUEBT
Los Angeles,1942 TRASNIENT
Los Angeles,1942 HAWAII
Los Angeles,1942 TRASNIENT AV
Sacramento,GENERAL DLIVERY
Los Angeles,1942 TRANSINENT
Los Angeles,1242 TRANSIENT
Los Angeles,1942 N TRANS
San Diego,TRANSIENT NORTH PARK REC
Los Angeles,1942 TRANTSIENT
Los Angeles,1942 TRANSIENT WT
Sacramento,1000 BOX TRANSIENT
Los Angeles,2671 TRANSIENT
Los Angeles,1941 TRANSIENT ST
Los Angeles,1542 TRANSIENT
Oakland,TTRANSIENT
Los Angeles,1942 TARNSIENT
Los Angeles,1942 TRANSIENT BL
Los Angeles,942 TRANS
Los Angeles,1942 W TRANSIENT WY
Los Angeles,1942 TRANIENST
Los Angeles,1942 TRANSIENTLNN
Los Angeles,1942 TRANSIETNT
Los Angeles,1942 TRANSIEND
Los Angeles,4942 TRANSIENT
Los Angeles,2370 TRANSIT
Los Angeles,1942 TRASNIENT AVE
Sacramento,TRANSIEN5T
Los Angeles,1942 TRASIENST
Oakland,OAKLAND TRANSIENT / 22252 GARDEN ST.
Sacramento,TRANSEINT
Los Angeles,1414 TRANSIENT
Los Angeles,1842 TRANSIENT
Sacramento,GENERA DELIVERY
Oakland,T R A N S I E N T
Los Angeles,1942 TRABS
Los Angeles,1942Q TRANSIENT AVE
San Diego,17TH
Oakland,TRANSIT
San Diego,TRASNIENT
Los Angeles,1942 TRANSIENTT
Los Angeles,194 TRANSINET
Portland,HOUSLESS
San Diego,TRANSIENTUNKNOWN
Oakland,CITY TEAM SHELTER
Oakland,UNK TRANSIENT
Los Angeles,1942 TANS
Los Angeles,1942 TRANSIENBT
Los Angeles,194 TARNSIENT
Oakland,TRANCIENT
Los Angeles,1942 TERANSIENT
San Diego,17TH TRANSIENT
Los Angeles,1942 N TRANSIENT DR
Sacramento,96311 GENERAL DELIVERY
Los Angeles,1962 TRANSIENT
Los Angeles,1942 TRANSIENTF
Oakland,TRANS
Los Angeles,4219 TRANISENT
Los Angeles,TRANS
Sacramento,GENEREAL DELIVERY
Los Angeles,1942 TRA
Sacramento,TRANSCIENT
Portland,TRANSIENT CAMP
Los Angeles,1942 TRAINSENT
Los Angeles,1942 STRANSIENT
Los Angeles,19842 TRANSIENT
Los Angeles,1942 TRASNIETN
Los Angeles,1942 S TRANSIENT WAY
Los Angeles,1942 TRANSIENT LANE
Portland,TRANSIENT TENT
Los Angeles,1942 TRANSCIENT
Los Angeles,1942 TRANTIENT
Sacramento,GENERAL DEILVERY
Los Angeles,1942 TRABSIENT
Los Angeles,1942 TRASNSIENTST
Los Angeles,1945 TRASIENT
Los Angeles,1942 GTRANSIENT
Los Angeles,1941 TRANISENT
Los Angeles,1942 TRANSIENT
Los Angeles,19942 TRANSIENT
Los Angeles,1942 TRQANSIENT
Sacramento,TRASIENT
Los Angeles,1945 TRANS
Sacramento,GENERAL DELVIERY
Los Angeles,1942 TRANSIENT FROM
Los Angeles,1942 TRANSEITNT
Los Angeles,1923 TRANSIENT
Los Angeles,1942 TRANS LN
Portland,TRANS
San Diego,TRANSIENT OCEAN BEACH AREA
Los Angeles,1942 TRANISIENT STRE
Sacramento,GENERAL DELIVIERY
Los Angeles,1942 TRANSIGET
Sacramento,HOMELESS
Sacramento,GENERAL DELIVERYY
Los Angeles,2127 E 1942 TRANSIENT
Los Angeles,1942 TRASIENT AVE
Los Angeles,1942 TRANSIENT LN
Los Angeles,5701 1942 TRANSIENT
San Diego,TRANSIENT 19TH AND LOGAN
Los Angeles,1942 TTRANSIENT
San Diego,CLAIREMONT MESA BLVD TRANSIENT
Los Angeles,00000 N TRANSIENT
Los Angeles,19472 TRANSIENT
Los Angeles,1940 TRAUS
Los Angeles,1942 TRANSIEDNT
San Diego,IMPERIAL TRANSIENT
Los Angeles,1942 TRASNEINT
Los Angeles,1942 TRANIENTS
Los Angeles,19427 TRANSIENT
Oakland,TRANSIT/HOMELESS
Los Angeles,1949 1942 TRANSIENT
San Diego,TRANSIENT REFUSED
Los Angeles,1942 S TRASNEINT
Los Angeles,1942 TANSIENT LN
Los Angeles,1942 TRASIENTREFUSE
Los Angeles,1942 S TRNASEINT
Los Angeles,1442 TRANSIANT
Los Angeles,1942 TRANSIENTSTSTST
Los Angeles,1842 TRANS
Sacramento,TRANSIT
Sacramento,GENERAK DELIVERY
Los Angeles,1942 TRANSIENTL OLYM
Los Angeles,1942 RANSIEN
Sacramento,TRANSIANT
Los Angeles,9355 TRANSIENT
Los Angeles,1942 TRANSIENT STRE
Los Angeles,1942 TRAWS
Los Angeles,1942 TRANDIRNY
Los Angeles,1942 TRANKSIENT
San Diego,MIDWAY DR GENERAL DELIVERY
Los Angeles,01942 TRANSIENT
Los Angeles,19423 TRANSIENT
Oakland,NOMAD
Sacramento,GENERRAL DELIVERY
Los Angeles,1992 TRANSIENT
Los Angeles,1942 TRANSIET AVE
Los Angeles,1942 TRANSEANT
San Diego,TRANSIENT SAN DIEGO
Los Angeles,1942 TRANSIENTAVV
Oakland,HOMLESS
Los Angeles,4219 TRANSIENT
Los Angeles,19742 TRANSIENT
Seattle,"0000 GENERAL DELEVERY ST SEATTLE, WA 98101"
Los Angeles,1942 TRANSIEN ST
Los Angeles,1942 TRANSITNT
Los Angeles,1942 TRANSIENY
Los Angeles,1942 TRANEITN ST
Los Angeles,00000 GENERAL DELIVER
San Diego,TRNSIENT
Los Angeles,1492 TRANSIENT
Los Angeles,1942 TRIENSIENT
Sacramento,GENERAL DEIVERY
Oakland,OAKLAND TRANSIENT
Sacramento,GENEREL DELIVERY
Los Angeles,1942 TRANSTIENT
Los Angeles,9142 TRANSIENT
Sacramento,DENERAL DELIVERY
Los Angeles,1942 TRASIET
San Diego,HOMLESS
Los Angeles,1942 TRANWIENT
Los Angeles,1942 TRANSIENTL N
Los Angeles,1942 1942TRANSIENT
Los Angeles,1942 TRANIENT ST
Los Angeles,1942 TRAN
Sacramento,9999 TRANSIENT
Los Angeles,609 TRANSIENT
Los Angeles,1942T TRANSIENT
San Diego,WALL ST CO GENERAL DEL
Los Angeles,1947 TRANSIENT
Los Angeles,1942 1942 TRANS
Los Angeles,1942 TRASNIENT ST
Oakland,TRANS SHATTUCK AND ADDISON
Los Angeles,1942 TRANSIENTC
Los Angeles,45355 1942 TRANSIENT
Los Angeles,1942 REANSIENT
San Diego,TRANSIENT CENTRAL
Los Angeles,1942 TRANIESNT
Los Angeles,3426 TRANSIENT
Los Angeles,1942 TRNS
Los Angeles,1942 TRESIENT
Los Angeles,1942 TRANSEINT AVE
Los Angeles,1942 TRANSIEANT
Oakland,TRANSIDENT
Sacramento,GEMERAL DELIVERY
Seattle,"0 GENERAL DELIVERY SEATTLE, WA 98101"
Los Angeles,1442 TRANSIENT
Los Angeles,1942 TRANSCIENTS
Los Angeles,1717 TRANSIENT
San Diego,TRANSIENT IN SAN DIEGO
Los Angeles,3535 E CLINTON HOMELES
Los Angeles,1992 TRANCIENT
Los Angeles,1942 TRINE
Los Angeles,9142 TRANSIENT ST
Los Angeles,1942 TRANSIENA
Los Angeles,1949 TRANSIENT
Los Angeles,1412 TRANSIENT
Los Angeles,1942 TRANSIENT DR
Los Angeles,1942Q TRANSIET
Los Angeles,19420 TRANSIENE
Sacramento,TRANIENTS
Los Angeles,1942 TRANSI
Los Angeles,1942 TRASIENT LN
San Diego,HOMELSS
Los Angeles,1942F TRANSIENT
Los Angeles,1942T TRANSCIENT
Los Angeles,1942 TRANSIENT PL
Portland,RESIDENTIALLY CHALLENGED
Oakland,HOMELESS
Sacramento,TRANSTENT
San Diego,TRANSIENTREFUSED
Sacramento,GNERAL DELIVERY
Oakland,TRANISENT
Los Angeles,192 TRANSIENT
Portland,UNDER *** BRIDGE
Los Angeles,1961 TRANS ST
Los Angeles,1942 TRANEIT
Los Angeles,1942 TRSIENT
Los Angeles,1945 TRAMSIENT
Los Angeles,1942 TRANCIENT
Los Angeles,1942 TRASIENTVANOWEN
Los Angeles,1942 RTANSIENT
Los Angeles,1942 TRANSIENT CT
Los Angeles,1920 TRAMSIENT ST
Seattle,"00000 GENERAL DELIVERY BELLINGHAM, WA 98225"
Los Angeles,TRANSIENT
Seattle,"123 HOMELESS SEATTEL, WA 98104"
Sacramento,GENRAL DELIVERY
Sacramento,DVI STATE PRISON
Los Angeles,1642 TRASIENT
Seattle,"999 HOMELESS KENT, WA 98032"
Los Angeles,1934 TRANSIENT
Los Angeles,1926 TRANSIENT WAY
Los Angeles,1942 E TRANSIENT
Los Angeles,1942 TRANSINT STREET
Los Angeles,1942 TRANSENT AVE
Los Angeles,18450 TRANSIENT
Seattle,"99999 HOMLESS SEATTLE, WA 98104"
Los Angeles,1942 TRANSIENTRDD
Sacramento,GENERL DELIVERY
Los Angeles,1910 TRANSIENT
Los Angeles,1942TRANSIENT
Oakland,HOMELSS
Los Angeles,1942 TRANSIEENT
San Diego,TRANS
Los Angeles,4202 TRANSIENT
Los Angeles,1942 TRANIENT
Los Angeles,1942 TRIENSENT ST
Los Angeles,1942 TRANSIENT ST
Los Angeles,1942 TRAMSIENT
Los Angeles,1946 TRANSIENT
Los Angeles,1942 TRANSIENT NEWT
Los Angeles,1942 TRANSIT ST
Los Angeles,1942 TRANSIENTWE
Los Angeles,19000 TRANSIENT
Los Angeles,1994 TRANSIENT
Los Angeles,1942 TRABSIENT ST
Sacramento,TRANISENT
Los Angeles,1942 S TRANSIET
Los Angeles,1942 TRANSIENT SOW
Los Angeles,1942 TRANSNIENT AVE
Seattle,"GENERAL DELIVERY BELLINGHAM, WA"
Los Angeles,1942 TRANIENE
Los Angeles,G1942 TRANSIENT
Sacramento,GENERAL DELIVEERY
Los Angeles,GENERAL DELIEVE
Los Angeles,1942 TRANSIENTAVE
Seattle,"123 HOMELESS SEATTLE, WA 98118"
Los Angeles,1972 TRANSIENT
Los Angeles,1942 TRANSIENTSTT
Los Angeles,1942 TRSANSIENT ST
Los Angeles,1942 TRANSIENT STEE
Los Angeles,1942S TRANSIENT
Los Angeles,1942 TRANSIENDT
Seattle,"123 HOMELESS SEATTLE, WA 98104"
San Diego,HOMELESS299
Los Angeles,1945 S TRANSEINT
Los Angeles,1942 TRANSIENT STR
Los Angeles,1942 TRAINSIET
Los Angeles,1915 TRANSIENT
Los Angeles,1942 1942
Los Angeles,1942 TRANISENT
Los Angeles,1942 TRABNSIENT
Los Angeles,1942 TRASNEINT AVE
Sacramento,TRANSIENT NORTH AREA DEL PASO BLVD
Sacramento,TRANSIENT GD HWY
Los Angeles,142 TRANS
Los Angeles,1805 TRANSIENT
Los Angeles,00000 TRANSIENT
Los Angeles,9142 TRANSCIENT
Sacramento,GENREAL DELIVERY
Los Angeles,1942 TRAANSINT
Los Angeles,1942 TRASNIOENT
Los Angeles,19422 TRANSIENT
Los Angeles,1942 TRANINSIENT
Portland,NO ADDRESS
Los Angeles,1942 TRANISENT STREE
Los Angeles,1942 LA TRANSIENT
Los Angeles,1945 TRANISENT
Los Angeles,1942 TRAINEST
Los Angeles,1974 TRANSIENT
Los Angeles,1942 REFUSE
San Diego,HOMELESS OCEAN BEACH
Los Angeles,1942 TRANSIENT AV
Los Angeles,1792 TRANSIENT
Seattle,"00000 HOMELESS SEATTLE, WA 98118"
Los Angeles,1945 TRANSIENT
Los Angeles,1992 TRANS
Los Angeles,1942A TRANSIENT
Los Angeles,1942 TRANSIEN
Los Angeles,1942 TRASIENT ST
Seattle,"999 HOMELESS SEATTLE, WA 99999"
Sacramento,GENERAL DELIEVERY
Oakland,HOMELESS BROADWAY OFARRELL AREA
Los Angeles,1942TRANSIENTT
Los Angeles,1942 TRANSIET ST
Los Angeles,1914 TRANSIENT
Seattle,"GENERAL DELIVERY SEATTLE, WA 98101-9999"
Seattle,"99999 GENERAL DELIVERY KELSO, WA 98626"
San Diego,HOMELESS SAN DIEGO
Los Angeles,1942 TRANSIIENT
San Diego,TRANSIENT STAYS AROUND 1900 BACON STREET5000 NEWPORT
Los Angeles,1942
Oakland,HOMELESS 12TH & MARKET
San Diego,17TH STREET TRANSIENT
Los Angeles,4212 TRANSIENT
Los Angeles,1942 TRSANSIENT
Los Angeles,19420 TRANSIENT
Los Angeles,1942 TEANSIENT
Los Angeles,19424 TRANSIENT
Oakland,TRANSIET
Los Angeles,19432 TRANSIENT
Sacramento,GEBERAL DELIVERY
Sacramento,1 GENERAL DELIVERY
Los Angeles,1142 1942 TRANSIENT
Los Angeles,1942 TRANIENT STRET
San Diego,HOMELESS GENERALLY IN BEAT
Los Angeles,1942 TRANSIEMT
Portland,HOUSELESS
Seattle,"99999 HOMELESS SEATTLE, WA 99999"
Sacramento,GENERAL DELIVARY
Sacramento,TRANSIENT
Los Angeles,1942 S TRANSIENT ST
Portland,TRANSIENT
Los Angeles,19452 TRANSIENT
Sacramento,1 TRANSIENT
Los Angeles,1942 TRANSEIT
Los Angeles,1945 TRANSINET
Los Angeles,19427 TANSIENT
Los Angeles,1942 TRASIENT
Sacramento,GENERAL DILIVERY
Sacramento,GENERAL DELIVERYDOWNTOWN
Oakland,TRANSIENT SACRAMENT
Los Angeles,1942 S TRANSIENT AVE
Portland,UNSHELTERED
Los Angeles,1942 TRANSINET ST
Los Angeles,1042 TRANSIENT
Seattle,"GENERAL DELIVERY EVERETT, WA 98201"
Sacramento,GENERAL
Sacramento,GENDERAL DELIVERY
Portland,EXPERIENCING HOMELESSNESS
Los Angeles,1142 TRANSIENT
San Diego,TRANIENT
Los Angeles,1942 TRANSIDENT
Los Angeles,19442 TRANSIENT ST
Sacramento,TRENSIENT
Los Angeles,731 1942 TRANSIENT
Oakland,TRANSSIENT
Los Angeles,1945 S TRANSIENT
Los Angeles,1921 TRANSIENT
San Diego,PO BOX 91446 TRANSENT
Los Angeles,1942 TRANESIENT
Oakland,O/S
Sacramento,GENERAL DELIVRY
Los Angeles,1942 TRNISENT
Portland,XSIENT
San Diego,TRANSIENT 3145 SPORTS ARENA
Los Angeles,1942Q TRANSIENT
Los Angeles,1942 TRANSIENT SOE
Sacramento,TRANIENT
Los Angeles,1942 TRAINSIENT ST
Los Angeles,19642 TRANSIENT
Los Angeles,999 TRANSIENT
Los Angeles,19422 TRANSINET
Seattle,"1234 HOMELESS SEATTLE, WA 98104"
Los Angeles,1942 TRANIESN
San Diego,HOMELESS WO MAILING ADDRESS
Los Angeles,1928 TRANSIENT
Los Angeles,19425 TRANSINET
Oakland,TRANSINET
Los Angeles,1942 TRASSIENT
Sacramento,GENERAL DELIVEREY
Los Angeles,506 1942 TRANSIENT
Los Angeles,19421 1942 TRANSIT
Sacramento,GEN DELIVERY
Los Angeles,1942 TREANSIENT
Los Angeles,1942 TANSIENT ST
Los Angeles,1942 TRANSIENT LA
Los Angeles,1942 S TRANSIENT
Portland,SE *** AVE *** ST RAMP
Los Angeles,1942 TRANS AVE
